id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
116397,43702,Digimon World 2003,NULL,2003-12-15 00:00:00.000,3,NULL,NULL,NULL,80.0084,6
121777,146923,Dino Crisis: Dungeon in Chaos,NULL,2003-11-04 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
102744,85950,Dinosaur Hunting,NULL,2003-09-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154904,11404,Disciples II: Rise of the Elves,NULL,2003-11-20 00:00:00.000,4,NULL,NULL,NULL,76.9431,11
141523,50426,Disney Princess Royal Horse Show,NULL,2003-10-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173043,43737,Disney's 101 Dalmatians II: Patch's London Adventure,NULL,2003-11-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138230,49409,Disney's Brother Bear,NULL,2003-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145063,3885,Disney's Hide and Sneak,NULL,2003-12-04 00:00:00.000,NULL,NULL,NULL,NULL,36.0000,0
167888,6381,Disney's Magical Quest 3 Starring Mickey & Donald,NULL,2003-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145896,142431,Disney's Mahjongg,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
36963,49405,Disney's The Haunted Mansion,NULL,2003-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176611,79813,Disney's The Lion King 1½,NULL,2003-10-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62132,104988,Diver Down,NULL,2003-12-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122971,141017,Divine Intervention (Pt. 1),NULL,2003-10-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
160636,22251,Dog's Life,NULL,2003-10-31 00:00:00.000,1,NULL,60.0000,1,40.2456,11
90127,3889,Donkey Konga,NULL,2003-12-12 00:00:00.000,3,NULL,60.0000,1,70.8422,19
116199,73175,Dora the Explorer: Barnyard Buddies,NULL,2003-11-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45333,6384,Double Dragon Advance,NULL,2003-11-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
170876,5814,Dr. Seuss' The Cat in the Hat,NULL,2003-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3214,38662,Dragon Ball,NULL,2003-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28402,2564,Dragon Ball Z: Budokai 2,NULL,2003-11-13 00:00:00.000,6,NULL,74.0000,2,71.9980,54
